mode,dist,B,t_us,distinct,wbytes_MB,eff_GBs,tok_s_stage,tokps_gpu_ub63,host_async,iters
w4a8,gate,1,913.4,6.0,76.5,87.8,1094.8,17.4,1.002,100
w4a8,uniform,1,872.8,6.0,76.5,91.9,1145.7,18.2,1.001,100
w4a8,zipf,1,875.9,6.0,76.5,91.6,1141.7,18.1,1.002,100
w4a8,degen,1,872.3,6.0,76.5,92.0,1146.4,18.2,0.998,100
w4a8,gate,4,915.4,22.9,292.5,335.0,4369.6,69.4,1.007,100
w4a8,uniform,4,885.6,23.2,296.4,351.0,4516.8,71.7,1.004,100
w4a8,zipf,4,890.2,18.2,232.3,273.6,4493.6,71.3,1.001,100
w4a8,degen,4,887.0,6.0,76.5,90.4,4509.8,71.6,1.002,100
w4a8,gate,8,919.0,42.8,545.9,622.8,8705.3,138.2,0.999,100
w4a8,uniform,8,889.1,43.5,554.6,654.1,8997.6,142.8,1.002,100
w4a8,zipf,8,889.7,29.3,373.9,440.7,8991.4,142.7,1.002,100
w4a8,degen,8,888.3,6.0,76.5,90.3,9005.6,142.9,1.002,100
w4a8,gate,16,1252.5,77.3,985.7,825.3,12774.8,202.8,0.735,100
w4a8,uniform,16,1286.5,80.6,1027.8,837.7,12437.1,197.4,0.691,100
w4a8,zipf,16,888.5,47.3,602.6,711.2,18008.6,285.9,1.002,100
w4a8,degen,16,887.6,6.0,76.5,90.4,18026.7,286.1,1.002,100
w4a8,gate,32,1954.9,128.0,1632.0,875.4,16368.7,259.8,0.47,100
w4a8,uniform,32,2053.8,135.5,1728.0,882.3,15581.1,247.3,0.435,100
w4a8,zipf,32,1164.4,71.4,910.0,819.5,27482.2,436.2,0.764,100
w4a8,degen,32,887.7,6.0,76.5,90.4,36047.6,572.2,1.0,100
w4a8,gate,64,2749.9,183.2,2335.6,890.6,23273.5,369.4,0.335,100
w4a8,uniform,64,2968.7,200.0,2549.6,900.6,21558.4,342.2,0.301,100
w4a8,zipf,64,1644.0,105.0,1338.4,853.6,38929.4,617.9,0.539,100
w4a8,degen,64,887.8,6.0,76.5,90.4,72091.0,1144.3,1.002,100
w4a8,gate,96,3168.4,212.8,2713.4,898.0,30299.4,480.9,0.292,50
w4a8,uniform,96,3406.0,230.0,2933.1,903.0,28185.1,447.4,0.263,50
w4a8,zipf,96,1982.9,128.1,1633.4,863.8,48414.1,768.5,0.449,50
w4a8,degen,96,888.2,6.0,76.5,90.3,108079.1,1715.5,1.002,50
w4a8,gate,128,3410.5,228.4,2912.6,895.5,37531.5,595.7,0.271,50
w4a8,uniform,128,3615.2,243.9,3109.8,902.0,35405.7,562.0,0.246,50
w4a8,zipf,128,2234.0,144.4,1841.6,864.4,57296.3,909.5,0.398,50
w4a8,degen,128,889.9,6.0,76.5,90.1,143833.6,2283.1,1.001,50
w4a8,gate,192,3633.9,240.8,3069.6,885.7,52836.0,838.7,0.253,50
w4a8,uniform,192,3792.6,253.3,3230.1,893.1,50625.3,803.6,0.236,50
w4a8,zipf,192,2659.8,170.0,2167.9,854.7,72187.0,1145.8,0.334,50
w4a8,degen,192,889.5,6.0,76.5,90.2,215859.6,3426.3,1.004,50
w4a8,gate,256,3792.3,249.1,3176.3,878.3,67504.5,1071.5,0.244,50
w4a8,uniform,256,3844.9,255.5,3257.0,888.3,66582.5,1056.9,0.232,50
w4a8,zipf,256,2950.0,187.2,2386.4,848.2,86778.4,1377.4,0.302,50
w4a8,degen,256,892.1,6.0,76.5,89.9,286973.7,4555.1,1.005,50
w4a8,gate,384,4079.8,254.1,3240.1,832.8,94121.7,1494.0,0.225,30
w4a8,uniform,384,4032.0,256.0,3263.4,848.7,95238.1,1511.7,0.221,30
w4a8,zipf,384,3485.4,210.4,2682.7,807.1,110173.2,1748.8,0.255,30
w4a8,degen,384,896.6,6.0,76.5,89.5,428261.4,6797.8,0.988,30
w4a8,gate,512,4303.4,255.4,3256.0,793.4,118974.9,1888.5,0.214,30
w4a8,uniform,512,4190.7,256.0,3264.0,816.7,122174.7,1939.3,0.21,30
w4a8,zipf,512,3923.3,224.1,2857.8,763.8,130502.9,2071.5,0.231,30
w4a8,degen,512,1124.6,6.0,76.5,71.3,455276.7,7226.6,0.783,30
